ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3,y,country_ids,latitude,longitude,eng.prim
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,u,400.0,880.0,NA,FALSE,LA VN,17.1311,105.671,FALSE
brx,Bodo,NA,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,i,265.0,2390.0,3260,FALSE,IN NP,26.725455,89.333235,FALSE
brx,Bodo,NA,SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro,60,Isolation,Uniform,u,285.0,1210.0,2260,FALSE,IN NP,26.725455,89.333235,FALSE
bul,Bulgarian,NA,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,u,283.0,667.0,2217,FALSE,BG GR MD MK RO RS TR UA,43.3646,25.047,FALSE
bul,Bulgarian,NA,IndoEuropean>BaltoSlavic>Slavic>South>Eastern,2,Wordlist,Uniform,i,261.0,1991.0,2559,FALSE,BG GR MD MK RO RS TR UA,43.3646,25.047,FALSE
bvi,Viri,NA,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,i,332.0,2094.0,2931,FALSE,SD,7.41311,27.6956,FALSE
bvi,Viri,NA,NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri,1,Isolation,Uniform,u,318.0,853.0,2298,FALSE,SD,7.41311,27.6956,FALSE
bvr,Burarra,NA,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,i,420.0,1915.0,NA,FALSE,AU,-12.3061,134.365,TRUE
bvr,Burarra,NA,Australian>Gunwigguan>Burarran,4,Wordlist,Uniform,u,465.0,1110.0,NA,FALSE,AU,-12.3061,134.365,TRUE
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,i,264.0,2005.0,XXX,FALSE,CG,1.07773,17.2305,FALSE
bvx,Dibole,Dzeke,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi,2,Wordlist,Uniform,u,313.0,818.0,XXX,FALSE,CG,1.07773,17.2305,FALSE
