ISO	Language	Dialect	Genetics	Speakers	Method	Quantity	Harmony?	Vowels	Structure	Peripheral	Nonperipheral	V1OS	V1PS	V1F1	V1F2	V1F3	V1F4	V2OS	V2PS	V2F1	V2F2	V2F3	V2F4	V3OS	V3PS	V3F1	V3F2	V3F3	V3F4	V4OS	V4PS	V4F1	V4F2	V4F3	V4F4	V5OS	V5PS	V5F1	V5F2	V5F3	V5F4	V6OS	V6PS	V6F1	V6F2	V6F3	V6F4	V7OS	V7PS	V7F1	V7F2	V7F3	V7F4	V8OS	V8PS	V8F1	V8F2	V8F3	V8F4	V9OS	V9PS	V9F1	V9F2	V9F3	V9F4	V10OS	V10PS	V10F1	V10F2	V10F3	V10F4	V11OS	V11PS	V11F1	V11F2	V11F3	V11F4	V12OS	V12PS	V12F1	V12F2	V12F3	V12F4	V13OS	V13PS	V13F1	V13F2	V13F3	V13F4	V14OS	V14PS	V14F1	V14F2	V14F3	V14F4	F1Centroid	F1CentroidPosition	F1UCA	F2Centroid	F2CentroidPosition	F2UCA
fry	Frisian	West	IndoEuropean>Germanic>WestGermanic>AngloFrisian	5	Wordlist	Long	No	9	7S2	7	2	i		277	2337			e		347	2060			ɛ		515	1870			a		762	1475			ɔ		557	877			o		420	940			u		320	705			y		280	1797			ø		390	1602																																	429.7777778	0.315005727	466.635	1518.111111	0.498229847	1343.112
ggu	Gban	N'da	NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban	1	Meaningful sentence	Uniform	No	7	7S0	7	0	i		260	2050	2970	3410	e		340	1960	2630	3400	ɛ		450	1870	2490	3410	a		610	1380	2220		ɔ		480	1100	2230		o		380	960	2120	3240	u		250	890	2000	3230																																											395.7142857	0.404761905	390.76	1458.571429	0.490147783	1343.56
gla	Scottish Gaelic	Bernera	IndoEuropean>Celtic>Insular>Goidelic	7	Wordlist	Long	No	9	7S2	7	2	i		320	2100			e		385	2010			ɛ		440	1910			a		640	1320			ɔ		470	880			o		390	710			u		320	1475			ɯ		370	1630			ɤ		490	1365																																	425	0.328125	445.12	1488.888889	0.560351719	1253.49
glg	Galician		IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>WesternIberian>PortugueseGalician	7	Carrier sentence	Uniform	No	7	7S0	7	0	i		312	2227			e		418	1899			ɛ		555	1769			a		700	1218			ɔ		538	930			o		424	812			u		318	705																																													466.4285714	0.398011782	463.708	1365.714286	0.434109255	1300.102
gug	Paraguayan Guarani		Tupian>TupiGuarani	3	Wordlist	Uniform	No	6	5S1	5	1	i		280	2270	2865		e		420	2030	2470		a		720	1365	2340		o		420	890	2400		u		300	840	2375		ɯ		325	1500	2300																																																		410.8333333	0.297348485	452.04	1482.5	0.449300699	1399.13
guj	Gujarati		IndoEuropean>IndoIranian>IndoAryan>Western	3	Wordlist	Uniform	No	7	6L1	6	1	i		261	2339	3000	3741	e		436	1992	2644	3572	ɛ		514	2051	2875	3477	a		780	1248	2527	3544	o		454	856	2509	3529	u		291	945	2514	3512	ə		547	1392	2262	3528																																											469	0.400770713	463.929	1546.142857	0.465369425	1435.853
guj	Gujarati		IndoEuropean>IndoIranian>IndoAryan>Western	3	Isolation	Uniform	No	7	6L1	6	1	i		243	2400	3100	3708	e		385	2167	2767	3700	ɛ						a		818	1293	2417	3242	o		433	825	2600	3100	u		297	683	2600		ə		603	1083	2575	3583																																											463.1666667	0.382898551	467.825	1408.5	0.422539313	1354.347
guk	Gumuz		NiloSaharan>Komuz	1	Running speech	Uniform	No	6	5S1	5	1	i		360	1965			e		520	1755			a		650	1400			o		460	945			u		360	820			ɨ		445	1655																																																			465.8333333	0.364942529	473.39	1423.333333	0.526928675	1267.695
gup	Kunwinjku		Australian>Gunwingguan	3	Carrier sentence	Uniform	No	5	5S0	5	0	i		339	2151	2781	3890	e		477	1909	2640	3813	a		611	1471	2627	3730	o		478	1050	2731	3662	u		389	1079	2989	3829																																																							458.8	0.440441176	445.352	1532	0.437783833	1480.491
gup	Bininj Gun-Wok		Australian>Gunwingguan	1	Running speech	Uniform	No	5	5S0	5	0	i		470	2332	2995		e		607	2044	2846		a		764	1679	2831		o		657	1170	2726		u		492	1087	2485																																																								598	0.43537415	584.954	1662.4	0.462168675	1573.795
gwj	G|wi		KwadiKhoe>Khoe>Kalahari>West>G||ana-G|wi	5	Wordlist	Uniform	No	5	5S0	5	0	i		240	2190			e		395	2010			a		770	1270			o		360	840			u		250	790																																																									403	0.30754717	447.23	1420	0.45	1337.4
hak	Hakka	Meixian	Sinitic>Chinese>Gan	5	Carrier sentence	Uniform	No	5	5S0	5	0	i		275	2226	3350		e		485	2108	2610		a		892	1401	2775		o		522	793	3010		u		379	796	2740																																																								510.6	0.38184765	516.247	1464.8	0.468806699	1353.303
