confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,orth,name,pk,valueset_pk,word_pk
,StandardOrth,,,2-470-190-1,{},,grandmother,ˈgrændˌmʌðər ,63766,48766,58271
,StandardOrth,,,2-471-190-1,{},,old woman,oʊld ˈwʊmən ,63767,48767,58143
,StandardOrth,,,2-480-190-1,{},,grandson,ˈgrændˌsʌn ,63768,48768,58521
,StandardOrth,,,2-490-190-1,{},,granddaughter,ˈgrænˌdɔtər ,63769,48769,58515
,StandardOrth,,,2-510-190-1,{},,uncle,ˈʌŋkəl ,63770,48770,58634
,StandardOrth,,,2-511-190-1,{},,mother's brother,ˈmʌðərz ˈbrʌðər ,63771,48771,58920
,StandardOrth,,,2-512-190-1,{},,father's brother,ˈfɑðərz ˈbrʌðər ,63772,48772,58334
,StandardOrth,,,2-520-190-1,{},,aunt,ænt ,63773,48773,58239
,StandardOrth,,,2-521-190-1,{},,mother's sister,ˈmʌðərz ˈsɪstər ,63774,48774,58698
,StandardOrth,,,2-522-190-1,{},,father's sister,ˈfɑðərz ˈsɪstər ,63775,48775,59109
,StandardOrth,,,2-530-190-1,{},,nephew,ˈnɛfju ,63776,48776,58244
,StandardOrth,,,2-540-190-1,{},,niece,nis ,63777,48777,58230
,StandardOrth,,,2-550-190-1,{},,cousin,ˈkʌzən ,63778,48778,58279
,StandardOrth,,,2-560-190-1,{},,ancestors,ˈænˌsɛstərz ,63779,48779,59154
,StandardOrth,,,2-570-190-1,{},,descendants,dɪˈsɛndənts ,63780,48780,59285
,StandardOrth,,,2-610-190-1,{},,father-in-law,ˈfɑðər-ɪn-lɔ ,63781,48781,59513
,StandardOrth,,,2-611-190-1,{},,father-in-law,ˈfɑðər-ɪn-lɔ ,63782,48782,59513
,StandardOrth,,,2-620-190-1,{},,mother-in-law,ˈmʌðərɪnˌlɔ ,63783,48783,59462
,StandardOrth,,,2-621-190-1,{},,mother-in-law,ˈmʌðərɪnˌlɔ ,63784,48784,59462
,StandardOrth,,,2-630-190-1,{},,son-in-law,sʌn-ɪn-lɔ ,63785,48785,58778
,StandardOrth,,,2-631-190-1,{},,son-in-law,sʌn-ɪn-lɔ ,63786,48786,58778
,StandardOrth,,,2-640-190-1,{},,daughter-in-law,ˈdɔtər-ɪn-lɔ ,63787,48787,59497
,StandardOrth,,,2-641-190-1,{},,daughter-in-law,ˈdɔtər-ɪn-lɔ ,63788,48788,59497
,StandardOrth,,,2-710-190-1,{},,stepfather,ˈstɛpˌfɑðər ,63789,48789,58699
,StandardOrth,,,2-720-190-1,{},,stepmother,ˈstɛpˌmʌðər ,63790,48790,58965
,StandardOrth,,,2-730-190-1,{},,stepson,ˈstɛpˌsʌn ,63791,48791,58670
,StandardOrth,,,2-740-190-1,{},,stepdaughter,ˈstɛpˌdɔtər ,63792,48792,58336
,StandardOrth,,,2-750-190-1,{},,orphan,ˈɔrfən ,63793,48793,59387
,StandardOrth,,,2-760-190-1,{},,widow,ˈwɪdoʊ ,63794,48794,59386
,StandardOrth,,,2-770-190-1,{},,widower,ˈwɪdoʊər ,63795,48795,58790
,StandardOrth,,,2-810-190-1,{},,relatives,ˈrɛlətɪvz ,63796,48796,59346
,StandardOrth,,,2-810-190-3,{},,kins men,kɪnz mɛn ,63797,48796,59188
,StandardOrth,,,2-820-190-1,{},,family,ˈfæməli ,63798,48797,58861
,StandardOrth,,,2-910-190-1,{},,I,aɪ ,63799,48798,58720
,StandardOrth,,,2-920-190-1,{},,you,ju ,63800,48799,58815
,StandardOrth,,,2-930-190-1,{},,he/she/it,hi/ʃi/ɪt ,63801,48800,58254
,StandardOrth,,,2-940-190-1,{},,we,wi ,63802,48801,59388
,StandardOrth,,,2-941-190-1,{},,we,wi ,63803,48802,59388
,StandardOrth,,,2-942-190-1,{},,we,wi ,63804,48803,59388
,StandardOrth,,,2-950-190-1,{},,you,ju ,63805,48804,58815
,StandardOrth,,,2-960-190-1,{},,they,ðeɪ ,63806,48805,58161
